N,precission,numberOfIterations,distance
965,0.001,53,8.557124724326247E-5
965,1.0E-5,78,6.354008732959092E-7
965,1.0000000000000001E-7,104,6.425236215918225E-9
965,1.0E-9,129,5.775854819384111E-11
975,0.001,54,8.191558797069285E-5
975,1.0E-5,75,6.585925248271796E-7
975,1.0000000000000001E-7,104,6.2566368599617645E-9
975,1.0E-9,125,5.89732604798334E-11
985,0.001,53,9.150216308483323E-5
985,1.0E-5,72,8.922373071041326E-7
985,1.0000000000000001E-7,106,6.200324079415688E-9
985,1.0E-9,126,6.304808088016989E-11
995,0.001,55,6.939910782129062E-5
995,1.0E-5,74,7.045435596231166E-7
995,1.0000000000000001E-7,105,6.1003607754474845E-9
995,1.0E-9,128,6.654418982353589E-11
