#N,type,distance,time
656,FLOAT,0.0,3252
659,FLOAT,0.0,2326
660,FLOAT,0.0,2625
661,FLOAT,0.0,2302
658,FLOAT,0.0,1946
662,FLOAT,0.0,2242
665,FLOAT,0.0,2137
664,FLOAT,0.0,2836
667,FLOAT,0.0,1342
666,FLOAT,0.0,1311
668,FLOAT,0.0,2075
663,FLOAT,0.0,1716
669,FLOAT,0.0,2076
670,FLOAT,0.0,1828
673,FLOAT,0.0,2780
672,FLOAT,0.0,3362
671,FLOAT,0.0,1824
675,FLOAT,0.0,1963
677,FLOAT,0.0,3218
674,FLOAT,0.0,2057
676,FLOAT,0.0,2255
679,FLOAT,0.0,2323
680,FLOAT,0.0,3987
682,FLOAT,0.0,1343
683,FLOAT,0.0,1527
678,FLOAT,0.0,1922
681,FLOAT,0.0,3871
684,FLOAT,0.0,2842
686,FLOAT,0.0,4334
689,FLOAT,0.0,3408
685,FLOAT,0.0,3754
688,FLOAT,0.0,2543
687,FLOAT,0.0,1995
691,FLOAT,0.0,3613
690,FLOAT,0.0,2218
692,FLOAT,0.0,3645
693,FLOAT,0.0,4479
695,FLOAT,0.0,3541
694,FLOAT,0.0,2801
696,FLOAT,0.0,2823
698,FLOAT,0.0,1178
697,FLOAT,0.0,2931
699,FLOAT,0.0,2453
701,FLOAT,0.0,3640
700,FLOAT,0.0,2799
705,FLOAT,0.0,2507
702,FLOAT,0.0,1785
704,FLOAT,0.0,3551
706,FLOAT,0.0,1329
703,FLOAT,0.0,2455
709,FLOAT,0.0,3842
707,FLOAT,0.0,3017
711,FLOAT,0.0,4113
713,FLOAT,0.0,2209
712,FLOAT,0.0,2383
708,FLOAT,0.0,5659
710,FLOAT,0.0,3079
714,FLOAT,0.0,2640
715,FLOAT,0.0,1510
719,FLOAT,0.0,2203
716,FLOAT,0.0,4561
717,FLOAT,0.0,2716
720,FLOAT,0.0,2395
718,FLOAT,0.0,2281
722,FLOAT,0.0,2101
721,FLOAT,0.0,2962
724,FLOAT,0.0,4632
723,FLOAT,0.0,2595
726,FLOAT,0.0,2745
727,FLOAT,0.0,1618
725,FLOAT,0.0,2649
728,FLOAT,0.0,3061
