#N,type,distance,time
724,DOUBLE,0.0,34
716,DOUBLE,0.0,39
725,DOUBLE,0.0,38
727,DOUBLE,0.0,56
723,DOUBLE,0.0,37
722,DOUBLE,0.0,35
721,DOUBLE,0.0,34
728,DOUBLE,0.0,43
729,DOUBLE,0.0,34
726,DOUBLE,0.0,37
731,DOUBLE,0.0,50
735,DOUBLE,0.0,40
730,DOUBLE,0.0,42
732,DOUBLE,0.0,36
733,DOUBLE,0.0,40
738,DOUBLE,0.0,39
734,DOUBLE,0.0,42
736,DOUBLE,0.0,42
737,DOUBLE,0.0,54
739,DOUBLE,0.0,42
740,DOUBLE,0.0,70
741,DOUBLE,0.0,54
744,DOUBLE,0.0,68
742,DOUBLE,0.0,53
746,DOUBLE,0.0,38
747,DOUBLE,0.0,39
743,DOUBLE,0.0,50
745,DOUBLE,0.0,56
750,DOUBLE,0.0,35
749,DOUBLE,0.0,56
748,DOUBLE,0.0,39
751,DOUBLE,0.0,37
752,DOUBLE,0.0,48
753,DOUBLE,0.0,38
754,DOUBLE,0.0,65
755,DOUBLE,0.0,40
757,DOUBLE,0.0,42
756,DOUBLE,0.0,48
758,DOUBLE,0.0,60
761,DOUBLE,0.0,40
760,DOUBLE,0.0,61
759,DOUBLE,0.0,40
762,DOUBLE,0.0,142
763,DOUBLE,0.0,90
766,DOUBLE,0.0,54
765,DOUBLE,0.0,159
767,DOUBLE,0.0,107
764,DOUBLE,0.0,43
770,DOUBLE,0.0,47
768,DOUBLE,0.0,55
771,DOUBLE,0.0,49
769,DOUBLE,0.0,111
772,DOUBLE,0.0,44
773,DOUBLE,0.0,40
776,DOUBLE,0.0,48
775,DOUBLE,0.0,39
778,DOUBLE,0.0,48
774,DOUBLE,0.0,56
777,DOUBLE,0.0,50
779,DOUBLE,0.0,56
780,DOUBLE,0.0,64
783,DOUBLE,0.0,53
782,DOUBLE,0.0,36
785,DOUBLE,0.0,71
781,DOUBLE,0.0,134
786,DOUBLE,0.0,39
784,DOUBLE,0.0,57
789,DOUBLE,0.0,124
790,DOUBLE,0.0,83
791,DOUBLE,0.0,65
788,DOUBLE,0.0,46
787,DOUBLE,0.0,47
792,DOUBLE,0.0,62
796,DOUBLE,0.0,41
794,DOUBLE,0.0,60
795,DOUBLE,0.0,72
793,DOUBLE,0.0,83
797,DOUBLE,0.0,73
799,DOUBLE,0.0,40
801,DOUBLE,0.0,47
798,DOUBLE,0.0,94
802,DOUBLE,0.0,60
800,DOUBLE,0.0,51
803,DOUBLE,0.0,69
805,DOUBLE,0.0,52
807,DOUBLE,0.0,44
804,DOUBLE,0.0,70
810,DOUBLE,0.0,37
808,DOUBLE,0.0,65
811,DOUBLE,0.0,70
806,DOUBLE,0.0,47
812,DOUBLE,0.0,37
814,DOUBLE,0.0,43
816,DOUBLE,0.0,59
817,DOUBLE,0.0,43
809,DOUBLE,0.0,46
813,DOUBLE,0.0,45
815,DOUBLE,0.0,44
821,DOUBLE,0.0,60
818,DOUBLE,0.0,54
819,DOUBLE,0.0,38
825,DOUBLE,0.0,48
823,DOUBLE,0.0,50
827,DOUBLE,0.0,71
826,DOUBLE,0.0,58
824,DOUBLE,0.0,99
820,DOUBLE,0.0,89
822,DOUBLE,0.0,93
830,DOUBLE,0.0,51
829,DOUBLE,0.0,99
831,DOUBLE,0.0,77
828,DOUBLE,0.0,114
832,DOUBLE,0.0,64
833,DOUBLE,0.0,63
838,DOUBLE,0.0,69
836,DOUBLE,0.0,70
837,DOUBLE,0.0,72
834,DOUBLE,0.0,68
835,DOUBLE,0.0,84
840,DOUBLE,0.0,54
839,DOUBLE,0.0,99
843,DOUBLE,0.0,136
841,DOUBLE,0.0,56
842,DOUBLE,0.0,73
845,DOUBLE,0.0,73
847,DOUBLE,0.0,61
846,DOUBLE,0.0,93
848,DOUBLE,0.0,56
