#N,type,distance,time
685,DOUBLE,0.0,2537
688,DOUBLE,0.0,6140
687,DOUBLE,0.0,3687
691,DOUBLE,0.0,6154
690,DOUBLE,0.0,7124
692,DOUBLE,0.0,6887
693,DOUBLE,0.0,2858
695,DOUBLE,0.0,5472
694,DOUBLE,0.0,6461
696,DOUBLE,0.0,6267
698,DOUBLE,0.0,7605
697,DOUBLE,0.0,3885
699,DOUBLE,0.0,6249
701,DOUBLE,0.0,2866
700,DOUBLE,0.0,9263
705,DOUBLE,0.0,3186
702,DOUBLE,0.0,5500
704,DOUBLE,0.0,5952
706,DOUBLE,0.0,6055
703,DOUBLE,0.0,7206
709,DOUBLE,0.0,3408
707,DOUBLE,0.0,5949
711,DOUBLE,0.0,5893
713,DOUBLE,0.0,3195
712,DOUBLE,0.0,6105
708,DOUBLE,0.0,6109
710,DOUBLE,0.0,6837
714,DOUBLE,0.0,8091
715,DOUBLE,0.0,7238
719,DOUBLE,0.0,3932
716,DOUBLE,0.0,5695
717,DOUBLE,0.0,2804
720,DOUBLE,0.0,10128
718,DOUBLE,0.0,7964
722,DOUBLE,0.0,7224
721,DOUBLE,0.0,4321
724,DOUBLE,0.0,6542
723,DOUBLE,0.0,4747
726,DOUBLE,0.0,5535
727,DOUBLE,0.0,5593
725,DOUBLE,0.0,4532
728,DOUBLE,0.0,8580
730,DOUBLE,0.0,8194
732,DOUBLE,0.0,8972
733,DOUBLE,0.0,3330
731,DOUBLE,0.0,5108
734,DOUBLE,0.0,7937
729,DOUBLE,0.0,4216
735,DOUBLE,0.0,8017
736,DOUBLE,0.0,8054
738,DOUBLE,0.0,7667
740,DOUBLE,0.0,8322
739,DOUBLE,0.0,5487
741,DOUBLE,0.0,3784
742,DOUBLE,0.0,8381
737,DOUBLE,0.0,4388
744,DOUBLE,0.0,6865
745,DOUBLE,0.0,3069
746,DOUBLE,0.0,6618
743,DOUBLE,0.0,6418
747,DOUBLE,0.0,6465
750,DOUBLE,0.0,6713
748,DOUBLE,0.0,10128
752,DOUBLE,0.0,7112
749,DOUBLE,0.0,4150
751,DOUBLE,0.0,7413
753,DOUBLE,0.0,6395
755,DOUBLE,0.0,8303
754,DOUBLE,0.0,10463
758,DOUBLE,0.0,10118
756,DOUBLE,0.0,7183
759,DOUBLE,0.0,5555
757,DOUBLE,0.0,4504
760,DOUBLE,0.0,9240
761,DOUBLE,0.0,6567
763,DOUBLE,0.0,9498
765,DOUBLE,0.0,4876
766,DOUBLE,0.0,7391
767,DOUBLE,0.0,7562
764,DOUBLE,0.0,8339
762,DOUBLE,0.0,10199
769,DOUBLE,0.0,3705
770,DOUBLE,0.0,7298
772,DOUBLE,0.0,7873
768,DOUBLE,0.0,7707
773,DOUBLE,0.0,4529
771,DOUBLE,0.0,6352
774,DOUBLE,0.0,8808
775,DOUBLE,0.0,6508
777,DOUBLE,0.0,5947
779,DOUBLE,0.0,5763
780,DOUBLE,0.0,7029
781,DOUBLE,0.0,4195
776,DOUBLE,0.0,7660
778,DOUBLE,0.0,8514
782,DOUBLE,0.0,9039
783,DOUBLE,0.0,6192
784,DOUBLE,0.0,16386
787,DOUBLE,0.0,6451
785,DOUBLE,0.0,8542
788,DOUBLE,0.0,9075
789,DOUBLE,0.0,5283
790,DOUBLE,0.0,9267
786,DOUBLE,0.0,8399
793,DOUBLE,0.0,3536
794,DOUBLE,0.0,6650
792,DOUBLE,0.0,7460
791,DOUBLE,0.0,7125
795,DOUBLE,0.0,7187
797,DOUBLE,0.0,6155
796,DOUBLE,0.0,10431
801,DOUBLE,0.0,6376
798,DOUBLE,0.0,10896
799,DOUBLE,0.0,6414
802,DOUBLE,0.0,17148
803,DOUBLE,0.0,5692
804,DOUBLE,0.0,8794
800,DOUBLE,0.0,10746
806,DOUBLE,0.0,7623
805,DOUBLE,0.0,3343
807,DOUBLE,0.0,5873
808,DOUBLE,0.0,9691
809,DOUBLE,0.0,4382
810,DOUBLE,0.0,9166
812,DOUBLE,0.0,9998
813,DOUBLE,0.0,4920
811,DOUBLE,0.0,8269
815,DOUBLE,0.0,6211
817,DOUBLE,0.0,5368
816,DOUBLE,0.0,10400
814,DOUBLE,0.0,10242
818,DOUBLE,0.0,9313
821,DOUBLE,0.0,3889
820,DOUBLE,0.0,9970
819,DOUBLE,0.0,9745
823,DOUBLE,0.0,6593
822,DOUBLE,0.0,9336
824,DOUBLE,0.0,10278
825,DOUBLE,0.0,5420
827,DOUBLE,0.0,10006
829,DOUBLE,0.0,5072
826,DOUBLE,0.0,8444
830,DOUBLE,0.0,8981
831,DOUBLE,0.0,8527
828,DOUBLE,0.0,14579
834,DOUBLE,0.0,17575
835,DOUBLE,0.0,8589
836,DOUBLE,0.0,11944
833,DOUBLE,0.0,6512
832,DOUBLE,0.0,21303
837,DOUBLE,0.0,4317
839,DOUBLE,0.0,7598
838,DOUBLE,0.0,9364
843,DOUBLE,0.0,5406
842,DOUBLE,0.0,7457
841,DOUBLE,0.0,5454
844,DOUBLE,0.0,12007
